STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,LOCATION,Country,INDICATOR,Indicator,SUBJECT,Subject,MEASURE,Measure,FREQUENCY,Frequency,TIME_PERIOD,Time,OBS_VALUE,Observation Value,OBS_STATUS,Observation Status,UNIT_MEASURE,Unit of Measures,UNIT_MULT,Multiplier,BASE_PER,Base reference period
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,ZAF,South Africa,UNEMPEDU,Unemployment rates by education level,UPPSRY_NTRY,"Upper secondary, non-tertiary",PC_25_64,% of 25-64 year-olds,A,Annual,2022,,27.467268,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,ZAF,South Africa,UNEMPEDU,Unemployment rates by education level,BUPPSRY,Below upper secondary,PC_25_64,% of 25-64 year-olds,A,Annual,2022,,30.912533,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,IDN,Indonesia,UNEMPEDU,Unemployment rates by education level,TRY,Tertiary,PC_25_64,% of 25-64 year-olds,A,Annual,2022,,2.4909279,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,IND,India,UNEMPEDU,Unemployment rates by education level,UPPSRY_NTRY,"Upper secondary, non-tertiary",PC_25_64,% of 25-64 year-olds,A,Annual,2022,,2.9989917,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,LVA,Latvia,UNEMPEDU,Unemployment rates by education level,UPPSRY_NTRY,"Upper secondary, non-tertiary",PC_25_64,% of 25-64 year-olds,A,Annual,2022,,7.1249151,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,LVA,Latvia,UNEMPEDU,Unemployment rates by education level,BUPPSRY,Below upper secondary,PC_25_64,% of 25-64 year-olds,A,Annual,2022,,13.343589,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,EST,Estonia,UNEMPEDU,Unemployment rates by education level,BUPPSRY,Below upper secondary,PC_25_64,% of 25-64 year-olds,A,Annual,2022,,7.7435803,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,USA,United States,UNEMPEDU,Unemployment rates by education level,UPPSRY_NTRY,"Upper secondary, non-tertiary",PC_25_64,% of 25-64 year-olds,A,Annual,2022,,4.2420554,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,GBR,United Kingdom,UNEMPEDU,Unemployment rates by education level,UPPSRY_NTRY,"Upper secondary, non-tertiary",PC_25_64,% of 25-64 year-olds,A,Annual,2022,,2.6822555,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,GBR,United Kingdom,UNEMPEDU,Unemployment rates by education level,BUPPSRY,Below upper secondary,PC_25_64,% of 25-64 year-olds,A,Annual,2022,,4.9444528,,A,,,,,,,
